,0
0,https://ok.ru/krskpru
1,https://ok.ru/krasnoyarskrf
2,https://ok.ru/krasnoyarskkr
3,https://ok.ru/obyasnyaemrf24
4,https://ok.ru/eniseytv
5,https://ok.ru/tvknew
6,https://ok.ru/trk7ru
7,https://ok.ru/gornovosti
8,https://ok.ru/shanskrasnoyarsk
9,https://ok.ru/zheltyaist
10,https://ok.ru/ilovekrsk
11,https://ok.ru/moykrasnoy
12,https://ok.ru/livekras
13,https://ok.ru/inkrsk
14,https://ok.ru/pwm.minusinsk
15,https://ok.ru/milypisets
16,https://ok.ru/mdkkrasnoyarsk
17,https://ok.ru/lovemilove
18,https://ok.ru/newskrasnoyarsk
19,https://ok.ru/krsklive
20,https://ok.ru/krskonline
21,https://ok.ru/novostikra
22,https://ok.ru/krasnoyarsk.city
23,https://ok.ru/vkrasnoyarske
24,https://ok.ru/group56904402010171
25,https://ok.ru/vesti.krasnoyarsk
26,https://ok.ru/niakras
27,https://ok.ru/kedrovyvc
28,https://ok.ru/lesosib
29,https://ok.ru/krasnoyarsk.24
30,https://ok.ru/krasnoyarsk45
31,https://ok.ru/sibvesti
32,https://ok.ru/divnwi
33,https://ok.ru/yadzavod24ru
34,https://ok.ru/group/51782959562994
35,https://ok.ru/group/59712933789765
36,https://ok.ru/group55329313456286
37,https://ok.ru/xix..24
38,https://ok.ru/krasrab
39,https://ok.ru/beregcity
40,https://ok.ru/info.1line
41,https://ok.ru/group/54756574363893
42,https://ok.ru/group/54240360726528
43,https://ok.ru/moykrasnoyarsk
44,https://ok.ru/tipzelek
45,https://ok.ru/predmos
46,https://ok.ru/razdaems
47,https://ok.ru/y3000
48,https://ok.ru/kanal8
49,https://ok.ru/krasnoyarsk24
50,https://ok.ru/gazetankk
51,https://ok.ru/roditelsky.dom
52,https://ok.ru/krasnoyarsk.ldpr
53,https://ok.ru/group/58643229311151
54,https://ok.ru/vestnikkras
55,https://ok.ru/delakrasnoyarsk
56,https://ok.ru/group/59872076955864
57,https://ok.ru/kraschp
58,https://ok.ru/rabota.lsk.enis
59,https://ok.ru/mvd24
60,https://ok.ru/krasnoyarsk.official
61,https://ok.ru/krasnoyarsk.kya.24
62,https://ok.ru/group/64251032109288
63,https://ok.ru/publicprokrasnoyarsk
64,https://ok.ru/achinskavto
65,https://ok.ru/muzhskoets
66,https://ok.ru/achinsk.pdd
67,https://ok.ru/gorodachinsk
68,https://ok.ru/highway...patrol...achinsk
69,https://ok.ru/achinskmag
70,https://ok.ru/v.achinsk
71,https://ok.ru/achpod
72,https://ok.ru/group70letachin
73,https://ok.ru/tserkovpro
74,https://ok.ru/mysrudnik
75,https://ok.ru/klubvetera
76,https://ok.ru/novayapric
77,https://ok.ru/zelenyeach
78,https://ok.ru/norilskcity
79,https://ok.ru/norilchane
80,https://ok.ru/norilsk.nostalgia
81,https://ok.ru/norilsknews
82,https://ok.ru/istoriyano
83,https://ok.ru/klipyonori
84,https://ok.ru/group54435264200822
85,https://ok.ru/mynorilsk
86,https://ok.ru/qwertq
87,https://ok.ru/russiasibir
88,https://ok.ru/group/49351930871833
89,https://ok.ru/aeroportno
90,https://ok.ru/group/50668199674084
91,https://ok.ru/group/58181234655272
92,https://ok.ru/group/58360735137838
93,https://ok.ru/group/50399025299585
94,https://ok.ru/norilskistory
95,https://ok.ru/norilskgo
96,https://ok.ru/group51566389362832
97,https://ok.ru/group/52904713388183
98,https://ok.ru/zelenyenor
99,https://ok.ru/norilsk124
100,https://ok.ru/kanskok
101,https://ok.ru/kansklife
102,https://ok.ru/kanck
103,https://ok.ru/kanskieve
104,https://ok.ru/kanskayapr
105,https://ok.ru/kansknashr
106,https://ok.ru/group/56052918779904
107,https://ok.ru/zelenyekan
108,https://ok.ru/group/57199538929846
109,https://ok.ru/group42755286630509
110,https://ok.ru/zhele
111,https://ok.ru/pwm.minusinsk
112,https://ok.ru/pddrossi
113,https://ok.ru/minusinskdramteatr
114,https://ok.ru/forum24minus
115,https://ok.ru/vzglyadinfo
116,https://ok.ru/pvmok
117,https://ok.ru/martyanovmuseum
118,https://ok.ru/group51783754973319
119,https://ok.ru/zelenyemin
120,https://ok.ru/group/55382544220394
121,
