,0
0,https://ok.ru/kpmurmansk
1,https://ok.ru/group/68834853322797
2,https://ok.ru/news.arctic
3,https://ok.ru/kinavselen
4,https://ok.ru/murmansklove
5,https://ok.ru/group/50746433536188
6,https://ok.ru/murmansklove
7,https://ok.ru/murmanskvs
8,https://ok.ru/murmanskay
9,https://ok.ru/vestnikmur
10,https://ok.ru/murmanskmo
11,https://ok.ru/murmanskie
12,https://ok.ru/zapolyarye
13,https://ok.ru/murmsil
14,https://ok.ru/xix..51
15,https://ok.ru/sever.real
16,https://ok.ru/group/54240363937792
17,https://ok.ru/group/61927835500727
18,https://ok.ru/freedomnewssevzapadny
19,https://ok.ru/tv21murmansk
20,https://ok.ru/murmanska
21,https://ok.ru/murmanskn
22,https://ok.ru/group/48404289552432
23,https://ok.ru/apatityapa
24,https://ok.ru/hibiny
25,https://ok.ru/onfmurmansk
26,https://ok.ru/group/48445653319855
27,https://ok.ru/group/53570660335782
28,https://ok.ru/group/55219483770904
29,https://ok.ru/murmanskonline
30,https://ok.ru/group/58725955928077
31,https://ok.ru/group/43468142346468
32,https://ok.ru/zapfoto
33,https://ok.ru/apatit
34,https://ok.ru/group/47327499518003
35,https://ok.ru/apatityapa
36,https://ok.ru/group/59815483932713
37,https://ok.ru/moygorodap
38,https://ok.ru/pechengane
39,https://ok.ru/group/44702580932772
40,https://ok.ru/lyudiktoko
41,https://ok.ru/group/53746023202962
42,https://ok.ru/group/51854254538997
43,https://ok.ru/severomorsklife
44,https://ok.ru/severomo
45,https://ok.ru/group/53662359093366
46,https://ok.ru/group53613568131308
47,https://ok.ru/monchegorskiyforum
48,https://ok.ru/moncheg
