,0
0,https://vk.com/murmanskgroup
1,https://vk.com/public181923765
2,https://vk.com/i.murmansk
3,https://vk.com/gremiha_murmansk140_ostrovnoy
4,https://vk.com/tv21_life
5,https://vk.com/reginfo51
6,https://vk.com/mlive51
7,https://vk.com/pvm51
8,https://vk.com/arctic51
9,https://vk.com/murmanskonline51
10,https://vk.com/bipolar51
11,https://vk.com/murmanskgeroi
12,https://vk.com/public195569983
13,https://vk.com/murman_51
14,https://vk.com/mchs_murmansk
15,https://vk.com/lady_51
16,https://vk.com/vmnews
17,https://vk.com/murman_sever
18,https://vk.com/murmanldpr
19,https://vk.com/newpeople_murmansk_51
20,https://vk.com/talk51
21,https://vk.com/orf51
22,https://vk.com/er_51
23,https://vk.com/nikel_ni
24,https://vk.com/zapoliarniy_nikel_pechenga
25,https://vk.com/club143830144
26,https://vk.com/pechengagen51
27,https://vk.com/nickelpublicpage
28,https://vk.com/izdaniekn51
29,https://vk.com/my_nikel
30,https://vk.com/nikel_zapoliarniy_pechenga
31,https://vk.com/pdsh51
32,https://vk.com/apatity
33,https://vk.com/narodnoetvx
34,https://vk.com/apatity_h
35,https://vk.com/hibinform
36,https://vk.com/nashi_apatity
37,https://vk.com/apatity__city
38,https://vk.com/pdh_hibiny
39,https://vk.com/5elementapatity
40,https://vk.com/severomorsk_online
41,https://vk.com/severomorsk.life
42,https://vk.com/severomorsk
43,https://vk.com/citysever
44,https://vk.com/severpdsh
45,https://vk.com/cityseveromorsk
