,0
0,https://ok.ru/chitaru
1,https://ok.ru/z.o.n
2,https://ok.ru/nightredstone
3,https://ok.ru/chitago
4,https://ok.ru/sibirbayka
5,https://ok.ru/zabru.chita
6,https://ok.ru/seychas.chita
7,https://ok.ru/prirodaza
8,https://ok.ru/planetamoy
9,https://ok.ru/ok.ruborzyaru
10,https://ok.ru/pribaykaly
11,https://ok.ru/group53388211912947
12,https://ok.ru/pvovzab
13,https://ok.ru/novostichi
14,https://ok.ru/shkolamaou
15,https://ok.ru/dauriyatoday
16,https://ok.ru/group57803689033828
17,https://ok.ru/chita.eparhia.ru
18,https://ok.ru/dobrotcentrzabaikal
19,https://ok.ru/charanashdom
20,https://ok.ru/rodnoeza
21,https://ok.ru/tvoydal
22,https://ok.ru/sovzab75
23,https://ok.ru/chvkchita
24,https://ok.ru/zabrtk
25,https://ok.ru/vestichita
26,https://ok.ru/zbknashdom
27,https://ok.ru/kprfchitai
28,https://ok.ru/group/59075512303730
29,https://ok.ru/group/58027818549255
30,https://ok.ru/zdorovoezab
31,https://ok.ru/danovikov
32,https://ok.ru/group53852438593663
33,https://ok.ru/selozarec
34,https://ok.ru/baleyskybi
35,https://ok.ru/baleyskiyrayon
36,https://ok.ru/group/59872284377129
37,https://ok.ru/group52061141925958
38,https://ok.ru/dk?st.cmd=altGroupMain&st.groupId=51911090962609&st.visitType=GROUP&st.referenceName=dkgornyak
39,https://ok.ru/chita.tehenergo
40,https://ok.ru/group57558453584105
41,https://ok.ru/gorodkras
42,https://ok.ru/incidentkrk
43,https://ok.ru/group51994280984734
44,https://ok.ru/group47717359157279
45,https://ok.ru/krasnokamenskoetv
46,https://ok.ru/mamayavchi
47,https://ok.ru/zloykrk
48,https://ok.ru/group57731188129828
49,https://ok.ru/kozlov.krasnokamensk
50,https://ok.ru/group/51976714649825
51,https://ok.ru/group53852438593663
52,https://ok.ru/chitacity75
