,0
0,https://vk.com/region_4ita
1,https://vk.com/chitavkypce
2,https://vk.com/chita_overhear
3,https://vk.com/livechita
4,https://vk.com/chita6rp
5,https://vk.com/typicalchita
6,https://vk.com/chita_city75
7,https://vk.com/vk_chita_ru
8,https://vk.com/anonims_75
9,https://vk.com/chitamarket
10,https://vk.com/chp.chita
11,https://vk.com/chita_stories
12,https://vk.com/iliveinzab
13,https://vk.com/the_chita_life
14,https://vk.com/nash_etnomuzey
15,https://vk.com/transbaikalie_the_native_land
16,https://vk.com/k.maslo.zabaikalie
17,https://vk.com/rockartt
18,https://vk.com/public181419318
19,https://vk.com/chita.eparhia
20,https://vk.com/dlpzab
21,https://vk.com/zbknashdom
22,https://vk.com/75online
23,https://vk.com/zabfolk
24,https://vk.com/dobrozab
25,https://vk.com/moi.biz75
26,https://vk.com/minstroy_zab
27,https://vk.com/chitagreens
28,https://vk.com/club27046235
29,https://vk.com/obyasnuaem_zab
30,https://vk.com/nashaborzy
31,https://vk.com/podslushano_borzya
32,https://vk.com/news_borzya
33,https://vk.com/nredstone
34,https://vk.com/incidentkrk
35,https://vk.com/zloykrk
36,https://vk.com/krasnokamensk_24
37,https://vk.com/public131376145
38,https://vk.com/krasnokamensk_zabaikalsky_krai
39,https://vk.com/zabaikalskie
40,https://vk.com/club44683542
41,https://vk.com/mdk_mogocha
42,https://vk.com/typical_mogocha
43,https://vk.com/mogochaaaa
44,https://vk.com/mogocha
45,https://vk.com/baley_1938
46,https://vk.com/sretensk_thebest
47,https://vk.com/public76723531
48,https://vk.com/public105428504
49,https://vk.com/nerchinskr
50,https://vk.com/public101451666
51,https://vk.com/hilik01
52,https://vk.com/club1296086
53,https://vk.com/public138211469
54,https://vk.com/shilkaanonim
55,https://vk.com/vsyapravdashilka
